TadID,Block,Clutch,AccGraph1,AccGraph2,AccTemp,AccInc,PerfTemp,PerfInc,InitialGosner,ExposureGosner,FinalGosner,InitialMass,ExposureMass,FinalMass,Cysts1,Cysts7,Cysts14,PropCleared1,PropCleared2,PropEncysted,LeftoverCerc,AdjPropEncysted
17F,C,A,13-19?C,13-16?C,16,Inc17,28,Inc18,26,26,28,96,150,302,17,0,0,1,NA,0.85,2,0.85
18A,C,C,22-28?C,28?C,28,Inc18,13,Inc16,28,29,29,204,426,468,17,12,11,0.294117647,0.083333333,0.85,0,0.85
18F,C,B,22-28?C,28?C,28,Inc18,28,Inc18,27,29,29,145,319,484,17,0,0,1,NA,0.85,2,0.85
19D,D,A,22-28?C,19-25?C,22,Inc19,22,Inc19,26,26,27,100,149,174,17,10,4,0.411764706,0.6,0.85,0,0.85
21D,D,C,22-28?C,19-25?C,25,Inc21,22,Inc19,26,28,29,90,281,472,17,10,3,0.411764706,0.7,0.85,0,0.85
21F,D,A,22-28?C,19-25?C,25,Inc21,28,Inc23,26,28,30,99,277,517,17,14,9,0.176470588,0.357142857,0.85,4,0.85
23C,D,A,22-28?C,28?C,28,Inc23,19,Inc22,26,26,28,84,145,327,17,13,3,0.235294118,0.769230769,0.85,1,0.85
24C,D,C,13-19?C,13-16?C,13,Inc24,19,Inc22,26,27,28,118,175,259,17,8,0,0.529411765,1,0.85,0,0.85
25B,E,A,13-19?C,13-16?C,16,Inc25,16,Inc25,28,28,28,270,368,371,17,17,13,0,0.235294118,0.85,0,0.85
25E,E,C,13-19?C,13-16?C,16,Inc25,25,Inc27,28,28,29,198,382,549,17,0,0,1,NA,0.85,0,0.85
26C,E,B,13-19?C,19-25?C,19,Inc26,19,Inc26,29,28,28,246,296,273,17,2,0,0.882352941,1,0.85,0,0.85
27D,E,B,22-28?C,19-25?C,25,Inc27,22,Inc29,29,31,34,329,598,856,17,8,5,0.529411765,0.375,0.85,1,0.85
31B,F,A,22-28?C,19-25?C,25,Inc31,16,Inc34,25,26,NA,47,185,NA,17,0,0,1,NA,0.85,0,0.85
32B,F,A,13-19?C,19-25?C,19,Inc32,16,Inc34,26,26,27,91,155,179,17,6,2,0.647058824,0.666666667,0.85,0,0.85
32F,F,C,13-19?C,19-25?C,19,Inc32,28,Inc35,26,26,26,117,137,148,17,10,8,0.411764706,0.2,0.85,0,0.85
33B,F,C,22-28?C,19-25?C,22,Inc33,16,Inc34,28,28,28,194,269,213,17,7,2,0.588235294,0.714285714,0.85,0,0.85
33D,F,B,22-28?C,19-25?C,22,Inc33,22,Inc33,26,25,NA,110,113,NA,17,0,0,1,NA,0.85,0,0.85
36F,F,B,13-19?C,13-16?C,13,Inc36,28,Inc35,26,26,26,111,130,98,17,6,6,0.647058824,0,0.85,2,0.85
04B,A,A,22-28?C,19-25?C,22,Inc4,16,Inc6,26,26,NA,123,176,NA,16,14,0,0.125,1,0.8,0,0.8
04C,A,C,22-28?C,19-25?C,22,Inc4,19,Inc5,28,30,29,200,336,404,16,15,3,0.0625,0.8,0.8,0,0.8
