TadID,Block,Clutch,AccGraph1,AccGraph2,AccTemp,AccInc,PerfTemp,PerfInc,InitialGosner,ExposureGosner,FinalGosner,InitialMass,ExposureMass,FinalMass,Cysts1,Cysts7,Cysts14,PropCleared1,PropCleared2,PropEncysted,LeftoverCerc,AdjPropEncysted
08A,B,A,22-28?C,28?C,28,Inc8,13,Inc7,26,27,27,146,258,257,6,6,6,0,0,0.3,7,0.3
13A,C,A,22-28?C,19-25?C,25,Inc13,13,Inc16,27,28,28,154,302,323,5,4,2,0.2,0.5,0.25,11,0.25
20A,D,A,13-19?C,13-16?C,16,Inc20,13,Inc24,25,25,25,80,142,161,5,1,1,0.8,0,0.25,11,0.25
23A,D,B,22-28?C,28?C,28,Inc23,13,Inc24,26,26,27,80,153,181,5,2,2,0.6,0,0.25,8,0.25
23E,D,A,22-28?C,28?C,28,Inc23,25,Inc21,25,26,26,68,94,127,5,0,0,1,NA,0.25,11,0.25
15B,C,A,22-28?C,19-25?C,22,Inc15,16,Inc17,26,26,26,126,161,203,4,3,2,0.25,0.333333333,0.2,9,0.2
21A,D,A,22-28?C,19-25?C,25,Inc21,13,Inc24,26,26,27,103,175,195,4,3,3,0.25,0,0.2,8,0.2
30A,E,C,13-19?C,13-16?C,13,Inc30,13,Inc30,27,27,27,227,393,412,4,4,0,0,1,0.2,0,0.2
10A,B,A,13-19?C,19-25?C,19,Inc10,13,Inc7,26,26,26,140,160,227,2,0,0,1,NA,0.1,0,0.1
22A,D,B,13-19?C,19-25?C,19,Inc22,13,Inc24,26,26,26,100,177,181,2,0,0,1,NA,0.1,12,0.1
05A,A,A,13-19?C,19-25?C,19,Inc5,13,Inc2,26,26,26,48,68,67,1,0,0,1,NA,0.05,1,0.05
